Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Complete,Special Event,Community,,Bell Street Park Opening,S14MR073,04/12/2014 12:00:00 AM,04/12/2014 12:00:00 AM,Bell Street Park,Belltown,,,Seattle Parks and Recreation,195
,Complete,Special Event,Athletic,Water,UW Stanford WSU Duals Regatta,S14AP157,04/12/2014 12:00:00 AM,04/12/2014 12:00:00 AM,,Montlake / Portage Bay,,,UW Rowing,700
,Complete,Special Event,Athletic,Run/Walk,Walk MS,S14AP066,04/13/2014 12:00:00 AM,04/13/2014 12:00:00 AM,Gas Works Park,Multiple Neighborhoods,,,National Multiple Sclerosis Society - Greater Northwest Chapter,4200
,Complete,Special Event,Commercial,,National Geographic Live! Student Matinee (4/14),S14AP026,04/14/2014 12:00:00 AM,04/14/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,2540
,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert (4/18),S14AP162,04/18/2014 12:00:00 AM,04/18/2014 12:00:00 AM,,Downtown,,,Seattle Symphony,398
,Complete,Valet Parking,,,1927 Events,S14AP193,04/19/2014 12:00:00 AM,04/19/2014 12:00:00 AM,,Downtown,,,Red Carpet Valet,40
,Complete,Special Event,Athletic,Run/Walk,Earth Day Run,S14AP125,04/19/2014 12:00:00 AM,04/19/2014 12:00:00 AM,Alki Beach,West Seattle,,,Run for Good Racing,1100
,Complete,Valet Parking,,,Valet Parking for NFFTY Opening Night,S14AP195,04/20/2014 12:00:00 AM,04/20/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,NFFTY,750
,Complete,Special Event,Commercial,,Seattle Symphony Open Rehearsal (4.22),S14AP203,04/22/2014 12:00:00 AM,04/22/2014 12:00:00 AM,,Downtown,,,Seattle Symphony,780
,Complete,Special Event,Commercial,,NFFTY Opening Night,S14AP126,04/24/2014 12:00:00 AM,04/24/2014 12:00:00 AM,,Downtown,,,The Talented Youth (NFFTY),800
,Complete,Special Event,Community,,Magnolia Springfest (April),S14AP179,04/25/2014 12:00:00 AM,04/25/2014 12:00:00 AM,,Magnolia,,,Magnolia Chamber of Commerce,320
,Complete,Valet Parking,,,WA CASH,S14AP196,04/25/2014 12:00:00 AM,04/25/2014 12:00:00 AM,,Georgetown,,,Red Carpet Valet,100
,Cancelled,Special Event,Community,,Caffe Vita 20th Anniversary,S14AP032,04/26/2014 12:00:00 AM,04/26/2014 12:00:00 AM,,Capitol Hill,,,Caffe Vita Coffee Roasting Company,2000
,Complete,Special Event,Community,,Sounders FC March to the Match (4/26),S14AP223,04/26/2014 12:00:00 AM,04/26/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,315
,Complete,Special Event,Athletic,Run/Walk,Top Pot Doughnut Dash,S14AP092,04/27/2014 12:00:00 AM,04/27/2014 12:00:00 AM,Greenlake Park,Green Lake,,,"Pro-Motion Events, Inc.",2500
,Complete,Special Event,Free Speech,,May 1st Rally and March,S14MY167,05/01/2014 12:00:00 AM,05/01/2014 12:00:00 AM,Westlake Park,Downtown,,,El Comite,600
,Complete,Special Event,Commercial,,Seattle True Independent Film Festival Opening Night (STIFF),S14MY134,05/02/2014 12:00:00 AM,05/02/2014 12:00:00 AM,,University District,,,STIFF,315
,Complete,Special Event,Athletic,Run/Walk,Fiesta 5K Ole & Taco Truck Challenge,S14MY045,05/03/2014 12:00:00 AM,05/03/2014 12:00:00 AM,Cal Anderson Park,Capitol Hill,,,Fizz Events,5500
,Complete,Special Event,Athletic,Run/Walk,March of Dimes - March for Babies,S14MY124,05/02/2014 12:00:00 AM,05/03/2014 12:00:00 AM,Seattle Center,Queen Anne,,,March of Dimes,4000
